item Objekt,itemLabel,P1031 Jurdiskt utskott,P7277 utskottLabel,Sveriges Riksdags dokument P8433 Protokoll som är källa,,
http://www.wikidata.org/entity/Q98003399,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:80,Justitieutskottet,G80922,,
https://www.wikidata.org/wiki/Q114958322,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:81,Socialutskottet,G80922,,
http://www.wikidata.org/entity/Q98003437,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:82,Skatteutskottet,G80922,,
http://www.wikidata.org/entity/Q98003444,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:83,Justitieutskottet,G80922,yrkande 2 till socialutskottet,
http://www.wikidata.org/entity/Q98003464,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:84,Socialutskottet,G80922,,
http://www.wikidata.org/entity/Q98003478,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:85,Socialutskottet,G80922,,
http://www.wikidata.org/entity/Q98003486,En samordnad och intensifierad narkotikapolitik (prop. 1984/85:19),Mot. 1984/85:86,Socialutskottet,G80922,,
http://www.wikidata.org/entity/Q98003502,Avdrag för förskottsräntor samt vissa andra frågor rörande inkomstskatt och folkbokföring (prop. 1984/85:23),Mot. 1984/85:87,Skatteutskottet,G80922,,
http://www.wikidata.org/entity/Q98003510,Avdrag för förskottsräntor samt vissa andra frågor rörande inkomstskatt och folkbokföring (prop. 1984/85:23),Mot. 1984/85:88,Skatteutskottet,G80922,,
http://www.wikidata.org/entity/Q98003533,Avdrag för förskottsräntor samt vissa andra frågor rörande inkomstskatt och folkbokföring (prop. 1984/85:23),Mot. 1984/85:89,Skatteutskottet,G80922,,
http://www.wikidata.org/entity/Q98003549,Förlängd tillämpning av allmänna prisregleringslagen (1956:236)  (prop. 1984/85:26),Mot. 1984/85:90,Finansutskottet,G80922,,
http://www.wikidata.org/entity/Q98003552,Förlängd tillämpning av allmänna prisregleringslagen (1956:236)  (prop. 1984/85:26),Mot. 1984/85:91,Finansutskottet,G80922,,
http://www.wikidata.org/entity/Q98003574,Förlängd tillämpning av allmänna prisregleringslagen (1956:236)  (prop. 1984/85:26),Mot. 1984/85:92,Finansutskottet,G80922,,
http://www.wikidata.org/entity/Q98003585,Riktlinjer för det framtida arbetet mot ekonomisk brottslighet m. m.,Mot. 1984/85:93,Justitieutskottet,G80923,,
http://www.wikidata.org/entity/Q98003593,Riktlinjer för det framtida arbetet mot ekonomisk brottslighet m. m.  (prop. 1984/85:32),Mot. 1984/85:94,Justitieutskottet,G80923,,
http://www.wikidata.org/entity/Q98003606,Riktlinjer för det framtida arbetet mot ekonomisk brottslighet m. m.  (prop. 1984/85:32),Mot. 1984/85:95,Justitieutskottet,G80923,,
http://www.wikidata.org/entity/Q98003631,Riktlinjer för det framtida arbetet mot ekonomisk brottslighet m. m.  (prop. 1984/85:32),Mot. 1984/85:96,Justitieutskottet,G80923,,
http://www.wikidata.org/entity/Q98003638,Inrättande av en statsrådslönenämnd (prop. 1984/85:17),Mot. 1984/85:97,Konstitutionsutskottet,G80924,,
http://www.wikidata.org/entity/Q98003659,Inrättande av en statsrådslönenämnd (prop. 1984/85:17),Mot. 1984/85:98,Konstitutionsutskottet,G80924,,
http://www.wikidata.org/entity/Q98003668,Inrättande av en statsrådsiönenämnd (prop. 1984/85:17),Mot. 1984/85:99,Konstitutionsutskottet,G80924,,
http://www.wikidata.org/entity/Q98003677,Utformningen av det ökade stödet till barnfamiljerna (prop. 1984/  85:39),Mot. 1984/85:100,Socialutskottet,G80924,,
http://www.wikidata.org/entity/Q98003699,Utformningen av det ökade stödet till barnfamiljerna (prop. 1984/  85:39),Mot. 1984/85:101,Socialutskottet,G80924,,
http://www.wikidata.org/entity/Q98003736,Utformningen av det ökade stödet till barnfamiljerna (prop. 1984/  85:39),Mot. 1984/85:102,Socialutskottet,G80924,,
http://www.wikidata.org/entity/Q98003747,Utformningen av det ökade stödet till barnfamiljerna (prop. 1984/  85:39),Mot. 1984/85:103,Socialutskottet,G80924,,
http://www.wikidata.org/entity/Q98003775,Utformningen av det ökade stödet till barnfamiljerna (prop.1984/  85:39),Mot. 1984/85:104,Socialutskottet,G80924,,
http://www.wikidata.org/entity/Q98003806,"Vissa ekonomisk-politiska åtgärder, m. m.",Mot. 1984/85:105,Skatteutskottet,G80925,yrkande 2 till arbetsmarknadsutskottet,
http://www.wikidata.org/entity/Q98003834,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45)",Mot. 1984/85:106,Arbetsmarknadsutskottet,G80925,,
http://www.wikidata.org/entity/Q98003863,Vissa ekonomisk-politiska åtgärder (prop. 1984/85:45),Mot. 1984/85:107,Skatteutskottet,G80925,,
http://www.wikidata.org/entity/Q98003891,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45)",Mot. 1984/85:108,Skatteutskottet,G80925,,
http://www.wikidata.org/entity/Q98003905,Vissa ekonomisk-politiska åtgärder m. m. (prop. 1984/85:45),Mot. 1984/85:109,Arbetsmarknadsutskottet,G80925,,
http://www.wikidata.org/entity/Q98003945,Vissa ekonomisk-politiska åtgärder m. m. (prop. 1984/85:45),Mot. 1984/85:110,Arbetsmarknadsutskottet,G80925,,
http://www.wikidata.org/entity/Q98003962,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45)",Mot. 1984/85:111,Skatteutskottet,G80925,,
http://www.wikidata.org/entity/Q98003971,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45)",Mot. 1984/85:112,Finansutskottet,G80925,,
https://www.wikidata.org/wiki/Q114958552,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45)",Mot. 1984/85:113,Skatteutskottet,G80925,,
http://www.wikidata.org/entity/Q98004038,"Vissa ekonomiska åtgärder, m. m. (prop. 1984/85:45)",Mot. 1984/85:114,Arbetsmarknadsutskottet,G80925,,
http://www.wikidata.org/entity/Q98004056,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45)",Mot. 1984/85:115,Skatteutskottet,G80925,,
http://www.wikidata.org/entity/Q98004073,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45)",Mot. 1984/85:116,Skatteutskottet,G80925,,
http://www.wikidata.org/entity/Q98004093,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45)",Mot. 1984/85:117,Finansutskottet,G80925,,
https://www.wikidata.org/wiki/Q114959794,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45)",Mot. 1984/85:118,Skatteutskottet,G80925,,
https://www.wikidata.org/wiki/Q114960489,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45) 2",Mot. 1984/85:119,Arbetsmarknadsutskottet,G80925,,
http://www.wikidata.org/entity/Q98004158,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45)  Sammanfattning",Mot. 1984/85:120,Skatteutskottet,G80925,,
http://www.wikidata.org/entity/Q98004169,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45)",Mot. 1984/85:121,Arbetsmarknadsutskottet,G80925,,
